Designator,Mid X,Mid Y,Rotation,Layer
R28,108.666,-76.642,90.0,bottom
R29,115.778,-78.302,90.0,bottom
R3,76.5,-93.5,90.0,bottom
R30,115.778,-74.864,90.0,bottom
R31,117.81,-74.86,90.0,bottom
R32,158.153265,-97.403399,270.0,bottom
R33,171.512,-57.02,180.0,bottom
R34,180.3725,-49.1875,90.0,bottom
R35,182.307495,-45.871137,90.0,bottom
R36,170.472154,-42.055,270.0,bottom
R37,188.414925,-42.055,270.0,bottom
R38,194.501,-88.474,0.0,bottom
R39,198.311,-88.474,180.0,bottom
R4,76.454,-98.869,270.0,bottom
R40,201.74,-88.474,180.0,bottom
R41,212.852,-39.241,270.0,bottom
R42,215.646,-42.164,0.0,bottom
R43,189.421,-98.044,0.0,bottom
R44,192.977,-98.044,180.0,bottom
R45,196.533,-98.044,180.0,bottom
R46,123.952,-48.0545,180.0,bottom
R47,123.952,-49.9595,0.0,bottom
R48,190.945,-88.474,0.0,bottom
R49,119.888,-51.061,270.0,bottom
R5,90.17,-117.793,90.0,bottom
R50,155.04,-131.4935,270.0,bottom
R51,155.04,-123.6195,270.0,bottom
R52,152.73,-123.6195,270.0,bottom
R53,152.73,-131.4935,270.0,bottom
R54,197.358,-75.946,180.0,bottom
R55,155.04,-135.5235,270.0,bottom
R56,155.04,-127.4955,270.0,bottom
R57,200.089,-98.044,180.0,bottom
R58,203.645,-98.044,180.0,bottom
R59,207.201,-98.044,180.0,bottom
R6,111.50066,-59.720222,270.0,bottom
R60,152.73,-135.5235,270.0,bottom
R61,152.708,-127.4955,270.0,bottom
R62,184.277,-117.856,180.0,bottom
R63,187.77,-125.222,180.0,bottom
R64,184.264,-125.159,0.0,bottom
R65,180.467,-120.142,180.0,bottom
R66,180.467,-124.968,180.0,bottom
R67,152.5,-100.7,90.0,bottom
R68,124.905,-57.1985,270.0,bottom
R69,211.7785,-133.992,0.0,bottom
R7,109.758,-59.698877,270.0,bottom
R70,211.7785,-136.368,0.0,bottom
R71,211.836,-131.96,180.0,bottom
R72,208.1265,-132.588,0.0,bottom
R73,205.8725,-139.192,90.0,bottom
R74,203.8405,-139.192,270.0,bottom
R75,203.0785,-132.334,0.0,bottom
R76,194.7775,-134.62,180.0,bottom
R77,210.487,-113.168,90.0,bottom
R78,206.486,-117.614,270.0,bottom
R79,202.93,-120.979,270.0,bottom
R8,94.62,-59.818,270.0,bottom
R80,205.724,-121.042,270.0,bottom
R81,204.47,-117.551,270.0,bottom
R82,204.978,-127.649,0.0,bottom
R83,202.438,-117.486,90.0,bottom
R84,202.438,-128.408,90.0,bottom
R86,84.836,-139.954,270.0,bottom
R87,208.518,-113.168,270.0,bottom
R9,92.778,-59.818,270.0,bottom
RN1,141.865848,-39.652621,270.0,bottom
RN2,127.992002,-133.204,90.0,bottom
RN3,102.87,-134.112,90.0,bottom
RN4,116.078,-132.334,270.0,bottom
RN5,116.078,-136.506,270.0,bottom
RN7,89.408,-136.144,270.0,bottom
RV1,75.184,-39.116,270.0,bottom
RV2,178.5,-99.0,0.0,top
RV3,167.0,-124.25,180.0,top
RV4,196.5555,-138.43,90.0,bottom
SW1,160.376,-94.929399,180.0,top
SW2,160.376,-100.685199,180.0,top
SW3,208.9575,-124.2925,270.0,top
SW4,199.0,-114.25,0.0,top
SW5,188.9575,-124.2075,90.0,top
SW6,198.915,-134.25,180.0,top
TH1,119.19,-57.0715,90.0,bottom
U1,86.487,-117.856,0.0,bottom
U10,122.062002,-135.128,90.0,bottom
U11,102.885,-77.702,180.0,bottom
U12,100.039,-72.587,90.0,bottom
U13,109.319502,-135.217,90.0,bottom
